sample_id,C,m,sigma_scale,life_cycles
183,1.0662037161657494e-10,2.7897624254233784,1.1177910590799076,184073.78417739857
184,1.001160618092315e-10,2.7159497010972187,0.9985529133842618,322773.6202821251
185,1.1074325752316153e-10,2.891733462915131,1.0192166979656705,177570.51394377096
186,9.775905059733031e-11,2.8778194775946666,1.0199762378022568,207838.56247424014
187,8.42450972954832e-11,2.8431574302100544,0.9816202266919907,293350.3451235464
188,8.286567168724162e-11,3.0910926112400516,0.9636213159089303,171611.49103905182
189,1.1184890814942e-10,2.944898287407691,1.106083749253297,120978.84210379457
190,1.1254719091951966e-10,2.9626098361446336,1.0501602934808876,133941.76478646728
191,9.427661555248704e-11,2.79689265120579,1.0410968600554338,249292.19325416972
192,9.232140171709452e-11,2.790085510866899,1.0288144595859106,267715.4420510152
193,1.1002986520552515e-10,2.893680549909696,0.9498341304819158,218103.31529561288
194,8.537236145238252e-11,2.9073007139652227,1.0638765095870137,195572.25424163995
195,8.741062061802407e-11,2.704368843288554,0.9578433670994125,425868.689150855
196,1.0217593722901483e-10,2.871969297715047,1.0141643399075322,205128.21242553502
197,9.221179082054794e-11,2.8914072082873505,0.9180305047267716,288770.88989472686
198,9.595083007948732e-11,2.8684850834228874,0.897957057467624,312402.47778031643
199,9.443094817416468e-11,2.8086609587653326,1.0159145601326558,258781.10909572957
200,9.924071566846977e-11,2.836046481807886,0.9595450366402546,270321.59170219535
201,1.0951182586861169e-10,2.8723140806427203,0.9005416214351363,269006.8004295533
202,9.686961510625677e-11,2.899080002361005,1.0270304751473538,194939.96717308243
203,1.0218181241545784e-10,2.950479158255057,1.1060040385525394,130558.6559686615
204,7.631834783010219e-11,2.9980856204950874,1.0694780129290031,170988.5187704364
205,9.553230334147087e-11,2.860565227647275,0.9871341057367163,243873.1455207863
206,8.790498940518844e-11,2.8443843803884645,1.0004422653348473,265546.3372027589
207,8.429939461993318e-11,2.9337655673534306,1.0443853128391956,195490.79061503313
208,8.7569737277484e-11,2.9510844916410854,1.0561064009917454,174306.40093234472
209,9.279241496927221e-11,2.8465799566741117,0.9828232140587151,263169.4707213009
210,1.0479266440661774e-10,2.9690393476966173,1.0017088857862286,162843.36347055522
211,8.326662990970019e-11,2.9879585341155974,1.0150307403382268,187982.10356428436
212,9.629406232890641e-11,3.0191686465658676,1.0276938160139415,144868.27567397058
213,9.135197343999765e-11,3.0678320906719825,0.9933461778994367,150074.36585372567
214,9.285433829412518e-11,2.803358386134056,0.9939957377465628,283511.29386574135
215,1.056264751229242e-10,2.8913898209332514,1.0689916164877193,162335.92051940633
216,1.011659081952377e-10,2.8911277696618662,1.0604760351221443,173574.38767155106
217,1.0883902183145034e-10,2.8801926431467493,1.0238705286718044,183548.44185760795
218,9.451674547920096e-11,2.8250737080389867,1.0859554535011464,205534.01178276868
219,8.931895092796126e-11,2.741443799676893,0.9806777118886791,356736.1687278751
220,9.38509553579472e-11,2.8992679446029004,1.081148672431469,173294.66086523884
221,9.832796919620373e-11,2.8131644340452087,1.0271257721767775,238265.41168535544
222,9.769510424115563e-11,2.8985993480747627,1.1635513061107294,134781.12684686173
223,8.558987450655968e-11,2.810595645830115,0.9403759036608761,353045.65607661277
224,9.68687019036276e-11,2.780034165415566,0.9655327373891329,312203.7051159925
225,9.81909919693335e-11,2.91342983603769,1.0209398914100274,188757.8277483079
226,1.2016775076032564e-10,2.9050921526806497,1.0198617026489496,157973.9381821138
227,1.1401770826830404e-10,2.9479281971320934,1.097506949208751,120486.78346322245
228,8.780886383463533e-11,3.1085863766417625,0.9665812658350234,153732.50988791935
229,9.324111972912791e-11,2.9177289531210846,1.0452459259346942,183604.06479253052
230,8.195095678236478e-11,2.938508176706413,1.0581231502340998,191214.58627440143
231,9.032921266595053e-11,2.7822438671132677,1.0352323916110324,274293.04975206923
232,9.902980803446727e-11,2.7613092559463626,0.951950182903784,332529.4552847869
233,1.0757619476052705e-10,3.0482829446773336,1.07038794026271,106500.00756228266
234,8.900079515766136e-11,2.7976520220066696,1.0614662465657707,249655.84220932613
235,8.972019417534916e-11,2.785605592853136,1.0299792259895189,277727.62736134353
236,7.538602531450892e-11,2.8860901078783447,1.0102173843604476,271423.73868784535
237,9.44384071627689e-11,2.880980758662261,1.0113054005022186,218765.1454456195
238,8.58008216461482e-11,2.799749349355671,0.9960632103880311,307785.7102599562
239,9.09173814972857e-11,2.85950267812869,1.0320392567126322,226236.52837056812
240,8.758213652959116e-11,3.0129375717650104,1.001556742647249,174838.66119776384
241,9.509507947917546e-11,2.8094006391168205,0.9575737512323679,302860.98534836515
242,7.912580744297634e-11,2.750632751563383,0.9475704177586204,432634.34701934055
243,8.19163656442465e-11,2.9842593620899796,0.9623981873173854,226062.8156353668
244,1.1644077227547166e-10,2.9392296911938036,1.0111066121274725,153530.0273287795
245,8.36407432197693e-11,2.827948137935134,0.9986522081782396,292210.7347470794
246,8.547085844683546e-11,2.7317832983873083,1.0107671896644375,351564.59297480306
247,1.1363436987188461e-10,2.815537664356144,1.0250406566773056,206119.8901390237
248,1.238886448247079e-10,2.884529556315073,0.9686339537041561,187178.1457535835
249,8.475296036327673e-11,3.006567208988382,1.0732830084172673,149086.04222061927
250,9.246481001483491e-11,2.7863418025130344,0.9866144586476263,303234.3487890135
251,9.927893328902889e-11,2.8815480118488526,0.9783286507609246,228634.6851314166
252,1.1259549738629369e-10,2.95751446598949,1.0241193118666225,146074.65313655432
253,8.652617204708892e-11,2.651873265987808,0.9081744898812464,563669.3308429114
254,9.364533267895575e-11,2.99337861679389,0.960473277513854,194562.68277576478
255,1.0346244073019275e-10,2.7717549427793564,1.0490536399345916,237031.15301147173
256,1.0017375431487955e-10,2.9231995493456937,0.9131289035468945,250199.8029351899
257,9.238890171619105e-11,2.9146683149610744,1.0558787098466578,181307.65192362183
258,9.471529954064601e-11,2.9984586391463846,1.0755568283179566,135326.56857003935
